iter	Logloss
0	0.6789748759
1	0.6666534445
2	0.6575692765
3	0.6490677415
4	0.6425796611
5	0.6372072618
6	0.6324408074
7	0.6284712651
8	0.625254012
9	0.6225987717
10	0.6197499507
11	0.6175094173
12	0.6153742788
13	0.6136409019
14	0.6121503338
15	0.6108309937
16	0.6093993348
17	0.6082270676
18	0.6072715129
19	0.6061266531
20	0.6052470846
21	0.6044782578
22	0.6039474482
23	0.6032000006
24	0.6025728951
25	0.6019667027
26	0.6014736016
27	0.6009736601
28	0.6004356112
29	0.6001264045
30	0.5997120375
31	0.5993114611
32	0.5988499132
33	0.598387046
34	0.5980565773
35	0.5976368983
36	0.5973289658
37	0.5969724924
38	0.5967387747
39	0.5964586021
40	0.5961293478
41	0.5958997655
42	0.5956272824
43	0.5952700928
44	0.5950939048
45	0.5948551041
46	0.5946401033
47	0.5943589475
48	0.5940968732
49	0.5938931788
50	0.593745432
51	0.5935965681
52	0.5933866557
53	0.5932178915
54	0.5930520735
55	0.5928736275
56	0.5926458797
57	0.5925166265
58	0.5923653806
59	0.5921458068
60	0.5919446697
61	0.5918271107
62	0.5916924539
63	0.5915931833
64	0.5914334068
65	0.5912924258
66	0.5911383972
67	0.5910216343
68	0.5909173703
69	0.5907794262
70	0.5906489237
71	0.5904271611
72	0.5902929129
73	0.5901758077
74	0.5900153629
75	0.5898492526
76	0.5896809211
77	0.5896214703
78	0.5894895855
79	0.5893589383
80	0.589253464
81	0.589114684
82	0.5889901369
83	0.5889512622
84	0.5888469723
85	0.5886957609
86	0.5886145146
87	0.5885153566
88	0.5883909417
89	0.5882710089
90	0.5881841043
91	0.5880236977
92	0.5879187709
93	0.5878152053
94	0.5877125041
95	0.5876047249
96	0.5875200743
97	0.5873743253
98	0.5872042001
99	0.5870974281
100	0.5869712178
101	0.5869022841
102	0.5868226134
103	0.5867098409
104	0.5866175928
105	0.5865328587
106	0.5864099059
107	0.5863414898
108	0.5862812832
109	0.5861445845
110	0.5860814677
111	0.5859362892
112	0.5858658554
113	0.5857466456
114	0.585668419
115	0.5856136504
116	0.5855400531
117	0.5854275619
118	0.5853402883
119	0.5852359907
120	0.5851601526
121	0.5850178722
122	0.5849508938
123	0.584850155
124	0.584739473
125	0.5845787379
126	0.5844616922
127	0.5843221492
128	0.5842387286
129	0.5841455209
130	0.583927678
131	0.5837870308
132	0.5836335642
133	0.583483252
134	0.5833519568
135	0.5832537418
136	0.5831524261
137	0.5830354331
138	0.5828699294
139	0.5827836607
140	0.5826547321
141	0.5825287532
142	0.5824001398
143	0.5822438736
144	0.5821290364
145	0.5819866068
146	0.5818609023
147	0.5817034432
148	0.5815259097
149	0.5814113091
150	0.5812206683
151	0.581075093
152	0.5809590673
153	0.5808187261
154	0.580707446
155	0.5806172488
156	0.580475557
157	0.5803216356
158	0.5801749442
159	0.5800218782
160	0.5799162554
161	0.5797805048
162	0.5796458231
163	0.5795175225
164	0.5793967326
165	0.5792934663
166	0.5791460692
167	0.5789850667
168	0.5788498142
169	0.5787377165
170	0.5786142854
171	0.5784951384
172	0.5783521276
173	0.5782487647
174	0.5781716211
175	0.578071672
176	0.5779693525
177	0.5778474348
178	0.5777502779
179	0.5776286319
180	0.5775341968
181	0.5773830973
182	0.5772629372
183	0.5771587504
184	0.5770756911
185	0.5769055582
186	0.5767618483
187	0.5766409337
188	0.5765479218
189	0.5764486097
190	0.5763010435
191	0.5761927508
192	0.5760623232
193	0.5759217012
194	0.5757663252
195	0.5756582618
196	0.5755673955
197	0.5754623539
198	0.5753701997
199	0.5752568455
200	0.5751547462
201	0.5750839337
202	0.5749596824
203	0.5748573682
204	0.5747302357
205	0.5746086444
206	0.574467942
207	0.5743915715
208	0.5743326793
209	0.5741972079
210	0.5741353583
211	0.5740553655
212	0.5739473828
213	0.5738364633
214	0.5737230173
215	0.573573202
216	0.5734699213
217	0.5733481558
218	0.5732401872
219	0.5731205544
220	0.5730190371
221	0.5729336861
222	0.5728299189
223	0.5727538796
224	0.5726198568
225	0.5725047062
226	0.5723711214
227	0.5722520511
228	0.5721069741
229	0.5719879683
230	0.5718574133
231	0.5717513593
232	0.5716193957
233	0.5715136844
234	0.5713932641
235	0.57129122
236	0.5711671372
237	0.5710637989
238	0.5709613069
239	0.5708609752
240	0.5707343913
241	0.570631695
242	0.5705678498
243	0.5704063982
244	0.5703001061
245	0.5702293943
246	0.5701509973
247	0.5700770234
248	0.5699981045
249	0.5699082341
250	0.5698021688
251	0.5696797344
252	0.5695916688
253	0.5694944498
254	0.5693838132
255	0.5692411603
256	0.5690964618
257	0.5690267471
258	0.5688844989
259	0.5687710569
260	0.5686495736
261	0.5685327987
262	0.5684373686
263	0.5683455483
264	0.5682157351
265	0.5680933719
266	0.5679603497
267	0.5678295852
268	0.5676830326
269	0.5675534795
270	0.5674405565
271	0.5673232386
272	0.5672159477
273	0.5670593782
274	0.5669630627
275	0.5668436897
276	0.5667218313
277	0.5666537728
278	0.5665511665
279	0.5664402454
280	0.5662962728
281	0.566183618
282	0.566105086
283	0.5660152446
284	0.5659101185
285	0.565800429
286	0.5657005418
287	0.565598037
288	0.5654754226
289	0.5653845121
290	0.5652565448
291	0.565085009
292	0.5649554737
293	0.5648851801
294	0.5647641377
295	0.5646622441
296	0.5645749976
297	0.5644462596
298	0.5643558476
299	0.5642353224
300	0.5641624377
301	0.5640472262
302	0.5639848756
303	0.5638600337
304	0.5637701064
305	0.5636650372
306	0.5635442094
307	0.5634491184
308	0.563389976
309	0.5632842786
310	0.5631613606
311	0.5630625293
312	0.5629349626
313	0.5628369611
314	0.5627438339
315	0.5626463026
316	0.5625302663
317	0.5625016066
318	0.5623992788
319	0.5622917573
320	0.5622017917
321	0.5621016953
322	0.5619877623
323	0.5619148958
324	0.5618342883
325	0.5617670674
326	0.5616481978
327	0.5615596237
328	0.56146344
329	0.5613654382
330	0.5612584314
331	0.5611502658
332	0.5609978208
333	0.5608887121
334	0.5607780845
335	0.5606742135
336	0.5606130768
337	0.5605179193
338	0.5604068699
339	0.5602908283
340	0.5602002131
341	0.5600781762
342	0.5599545266
343	0.5598499887
344	0.5597320714
345	0.559675006
346	0.5595812443
347	0.5594889832
348	0.5593980161
349	0.5593150121
350	0.5592070342
351	0.5591100136
352	0.5590169012
353	0.5589273713
354	0.5588271971
355	0.5587371466
356	0.5586578461
357	0.5585817619
358	0.5584803597
359	0.5583858264
360	0.5582842049
361	0.5581887191
362	0.5581101148
363	0.5580205943
364	0.5579386371
365	0.5578739411
366	0.5577696663
367	0.557702325
368	0.5576273096
369	0.5575151971
370	0.5574356311
371	0.55733706
372	0.5572640793
373	0.5571786803
374	0.5570557345
375	0.556953589
376	0.5568769088
377	0.5567689246
378	0.5567026105
379	0.5565815113
380	0.5564515089
381	0.5563626761
382	0.5562433418
383	0.5561410512
384	0.5560233831
385	0.5559523361
386	0.555876948
387	0.5557667343
388	0.5556867069
389	0.5556027403
390	0.5555057093
391	0.5554034301
392	0.5553384037
393	0.5552105729
394	0.5550985643
395	0.5549929093
396	0.5548906229
397	0.554791038
398	0.5547016865
399	0.5546060429
400	0.5545294046
401	0.5545029292
402	0.5544055608
403	0.5543229495
404	0.5542423991
405	0.5541585619
406	0.5540492643
407	0.5539575438
408	0.553857911
409	0.5537957582
410	0.5537148369
411	0.5536056854
412	0.5534799945
413	0.5533743405
414	0.5532804489
415	0.5531753639
416	0.5530941076
417	0.5530387963
418	0.5529260932
419	0.5528505393
420	0.5527767611
421	0.5526959237
422	0.5525893308
423	0.5524973094
424	0.5524128633
425	0.5523014395
426	0.5522329961
427	0.5521511413
428	0.552070727
429	0.5520005172
430	0.5519106309
431	0.5518373667
432	0.5517109505
433	0.5515540784
434	0.5514895509
435	0.5513844059
436	0.5512984472
437	0.5512180978
438	0.5510977601
439	0.5509722777
440	0.550891069
441	0.5508181289
442	0.5507573919
443	0.5506585006
444	0.5506103566
445	0.5505355505
446	0.5504373194
447	0.550413054
448	0.5503360113
449	0.5502418407
450	0.5501225973
451	0.5500451582
452	0.5499788248
453	0.5498635617
454	0.5497688374
455	0.5496992693
456	0.5496068899
457	0.5495215347
458	0.5494213775
459	0.5492831937
460	0.5492030409
461	0.5491370692
462	0.5490306086
463	0.5489244583
464	0.5488461777
465	0.5487669629
466	0.5486933203
467	0.5486041057
468	0.5485373352
469	0.5484631487
470	0.5483614168
471	0.5482926932
472	0.5482148754
473	0.5481485693
474	0.548095057
475	0.548011433
476	0.5479294744
477	0.5478720976
478	0.5477782684
479	0.5476947897
480	0.5475621618
481	0.5474778823
482	0.5474385669
483	0.5473485007
484	0.5472374044
485	0.5471291043
486	0.5470354803
487	0.5469437464
488	0.54687282
489	0.5467834372
490	0.5466806813
491	0.546604594
492	0.5465111768
493	0.546400023
494	0.5463116885
495	0.5462209709
496	0.5461143636
497	0.5460394864
498	0.5459355797
499	0.5458461212
500	0.5457655638
501	0.5456861697
502	0.54562974
503	0.5455574799
504	0.545457286
505	0.545391996
506	0.5453322047
507	0.5452382976
508	0.5451468723
509	0.5450766147
510	0.5450051494
511	0.5449225185
512	0.544820243
513	0.5447187819
514	0.5446474032
515	0.5445528376
516	0.5445177461
517	0.544440912
518	0.5443460492
519	0.5442761403
520	0.5441970878
521	0.5441072945
522	0.5440236625
523	0.5439120265
524	0.5438556601
525	0.543731674
526	0.5436203319
527	0.5435579707
528	0.5434977098
529	0.5434292745
530	0.5433318587
531	0.54324826
532	0.5431652566
533	0.543091794
534	0.5429904022
535	0.5429098574
536	0.5428295604
537	0.5427290738
538	0.542633408
539	0.5425257199
540	0.5424630262
541	0.5423696888
542	0.5422634245
543	0.5421837052
544	0.542085004
545	0.5419955113
546	0.5419256847
547	0.5418342939
548	0.5417502567
549	0.5416694681
550	0.5415853973
551	0.5415072898
552	0.5414262801
553	0.5413319089
554	0.5412554209
555	0.5411599583
556	0.5410891067
557	0.5410233363
558	0.5409627314
559	0.5408928942
560	0.5408157235
561	0.5407344311
562	0.5406315835
563	0.5405556442
564	0.5404148989
565	0.5402703643
566	0.540192869
567	0.5401082035
568	0.5400270543
569	0.5399782387
570	0.5398735534
571	0.5397937566
572	0.5397238969
573	0.5396452542
574	0.5395453521
575	0.5394813542
576	0.5393821524
577	0.5392845025
578	0.5391949251
579	0.5390838111
580	0.5389983967
581	0.5389202511
582	0.5388562196
583	0.5387653596
584	0.5387028694
585	0.5386130969
586	0.5385241322
587	0.5384317963
588	0.538367917
589	0.5382882497
590	0.53821522
591	0.5381543059
592	0.5380709154
593	0.5380001202
594	0.5379327656
595	0.5378355598
596	0.53778608
597	0.5377240286
598	0.5376719785
599	0.5375797276
600	0.5374830302
601	0.5374328787
602	0.5373372871
603	0.5372434839
604	0.5371441148
605	0.5370556102
606	0.5369499338
607	0.536869203
608	0.536793752
609	0.5366903931
610	0.5366177431
611	0.5365508977
612	0.5364848876
613	0.5363868914
614	0.5363009272
615	0.5362259933
616	0.5361451046
617	0.53607762
618	0.5360068688
619	0.5358873895
620	0.5357922042
621	0.5357241602
622	0.5356097831
623	0.5355177102
624	0.5354435462
625	0.535396439
626	0.5352981857
627	0.5352167976
628	0.535125579
629	0.535058446
630	0.5349960958
631	0.5348910047
632	0.53483932
633	0.5347677238
634	0.5346788984
635	0.5346225946
636	0.5345599876
637	0.5344588973
638	0.5343493504
639	0.5342979337
640	0.5342198886
641	0.5341285412
642	0.5340138947
643	0.5339517313
644	0.5339201106
645	0.5338472586
646	0.5337766588
647	0.5336758903
648	0.5336259941
649	0.5335567182
650	0.5334905979
651	0.533400448
652	0.5333561029
653	0.5332896226
654	0.5332065581
655	0.5331184785
656	0.5330574517
657	0.5329739793
658	0.5328944523
659	0.532793844
660	0.532730977
661	0.5326669628
662	0.5325981081
663	0.5325138053
664	0.5324620615
665	0.5323914127
666	0.5323389667
667	0.5322684709
668	0.5321829733
669	0.532107675
670	0.532013668
671	0.5319600079
672	0.5318756161
673	0.5318050199
674	0.5317297564
675	0.5316451473
676	0.5315531244
677	0.5314534657
678	0.5313960902
679	0.5313451773
680	0.5312544763
681	0.5311824806
682	0.5311092454
683	0.5310339676
684	0.5309691871
685	0.5309031991
686	0.5308683139
687	0.5308129248
688	0.5306934913
689	0.5306131827
690	0.530498831
691	0.5304155281
692	0.5303483806
693	0.5302688306
694	0.5302021432
695	0.5301158321
696	0.5299993826
697	0.5299295845
698	0.5298732764
699	0.529773917
700	0.5296998558
701	0.5296441349
702	0.5295617628
703	0.5294613684
704	0.5293399448
705	0.5292741138
706	0.5291909005
707	0.5290817841
708	0.5289703845
709	0.5288992052
710	0.5288487827
711	0.5287819555
712	0.5287226097
713	0.5286677998
714	0.5285490043
715	0.528453256
716	0.5283716336
717	0.5282937308
718	0.5281918538
719	0.5281089294
720	0.5280444369
721	0.5279987089
722	0.5279278852
723	0.5278508978
724	0.5277785524
725	0.5276896002
726	0.5276189863
727	0.5275546166
728	0.5274735601
729	0.5273995581
730	0.5272912459
731	0.5272041681
732	0.5271006342
733	0.5270166062
734	0.5269274713
735	0.5268636852
736	0.5267846029
737	0.5266949889
738	0.5266227475
739	0.5265128151
740	0.5263963644
741	0.5263282492
742	0.5262308256
743	0.5261396608
744	0.5260647205
745	0.5260128487
746	0.5259548168
747	0.5258988348
748	0.5258075371
749	0.5257223068
750	0.5256410819
751	0.5255698229
752	0.5254716265
753	0.5253671287
754	0.5252334449
755	0.5251484069
756	0.5250783187
757	0.5249739285
758	0.524882017
759	0.5248066074
760	0.5247457933
761	0.5246977992
762	0.5246505103
763	0.5245509695
764	0.5245153365
765	0.524431945
766	0.5243588539
767	0.5242625319
768	0.5242032691
769	0.5241602565
770	0.5240551159
771	0.52399132
772	0.5239432545
773	0.5238661991
774	0.5237977711
775	0.5237308347
776	0.5236777431
777	0.5236261128
778	0.5235749605
779	0.5235289851
780	0.5234764761
781	0.5233848469
782	0.523322395
783	0.5232441757
784	0.5231568859
785	0.5230693974
786	0.522995327
787	0.5229178317
788	0.5228053039
789	0.5227361874
790	0.5226763259
791	0.5226011867
792	0.5225449715
793	0.5224671047
794	0.5224099506
795	0.5223633439
796	0.5223000864
797	0.522251544
798	0.5222085819
799	0.5221393072
800	0.5220488916
801	0.5219586385
802	0.5218761815
803	0.5218129784
804	0.52173323
805	0.5216560172
806	0.5215893121
807	0.5215131603
808	0.5214111511
809	0.5213242538
810	0.5212605872
811	0.5211839309
812	0.5210906794
813	0.5210110148
814	0.5209469816
815	0.5208815183
816	0.5208049274
817	0.5207221978
818	0.5206303951
819	0.5205620507
820	0.5204714454
821	0.5203984951
822	0.5202984317
823	0.5202468528
824	0.5201652942
825	0.5201124493
826	0.5200373959
827	0.5199656873
828	0.5198732388
829	0.5197718412
830	0.519703118
831	0.5196180575
832	0.5195699606
833	0.5194559119
834	0.5194024151
835	0.5193222569
836	0.5192561628
837	0.5192098536
838	0.5191542131
839	0.5190769091
840	0.5190135489
841	0.5189475304
842	0.5188768254
843	0.5188092427
844	0.5187506298
845	0.5186681072
846	0.518585561
847	0.5185299407
848	0.5184583897
849	0.5183980657
850	0.5183306861
851	0.5182754814
852	0.5182290926
853	0.5181639957
854	0.5180925214
855	0.5180129296
856	0.5179307729
857	0.517893954
858	0.5178391581
859	0.5177945158
860	0.5177295455
861	0.5176487766
862	0.5175576356
863	0.5174714414
864	0.5173870827
865	0.5173207186
866	0.5172538364
867	0.5171676245
868	0.5170992173
869	0.5170471012
870	0.5170089008
871	0.5169266506
872	0.5168474411
873	0.5167498869
874	0.5167127101
875	0.5166608307
876	0.5165598199
877	0.5164806377
878	0.5164384896
879	0.5163803
880	0.516312733
881	0.5162136252
882	0.5161371113
883	0.5160498445
884	0.5159650245
885	0.5158709025
886	0.5157941123
887	0.5157177727
888	0.5156420332
889	0.5155602516
890	0.5155128357
891	0.5154317998
892	0.5153628348
893	0.5152719433
894	0.5152125342
895	0.5151475795
896	0.515073192
897	0.514993835
898	0.5149104394
899	0.514839411
900	0.5147543824
901	0.5146769529
902	0.514614145
903	0.5145399962
904	0.5144941788
905	0.5144330957
906	0.514357065
907	0.5142753531
908	0.514170808
909	0.5140846832
910	0.5139939191
911	0.5139295289
912	0.5138663182
913	0.5137772688
914	0.5137078518
915	0.5136436083
916	0.5135631028
917	0.5135088712
918	0.5134649269
919	0.5133843303
920	0.5133144234
921	0.5132634599
922	0.5131991997
923	0.513113408
924	0.5130457541
925	0.5129704198
926	0.5129194534
927	0.5128560331
928	0.5127515499
929	0.5126686773
930	0.5125991843
931	0.512516512
932	0.512442052
933	0.512356116
934	0.5122940151
935	0.5122106321
936	0.5121626456
937	0.5120752183
938	0.5119873349
939	0.5119224532
940	0.5118451684
941	0.5117592255
942	0.5116759285
943	0.5115823434
944	0.5115222694
945	0.5114553416
946	0.5113790949
947	0.5113033821
948	0.5112355848
949	0.5111812944
950	0.5111043768
951	0.5110212221
952	0.5109455374
953	0.5109098884
954	0.5108655071
955	0.5108031177
956	0.5107486054
957	0.5106706748
958	0.5106280184
959	0.510550841
960	0.5104808002
961	0.5104393112
962	0.5103680116
963	0.5103119761
964	0.5102582521
965	0.5101809614
966	0.5100955051
967	0.5100490645
968	0.5099563917
969	0.5098958516
970	0.5098180698
971	0.5097550385
972	0.5096957144
973	0.5096237538
974	0.5095476408
975	0.509504266
976	0.5094366423
977	0.5093756367
978	0.5093205598
979	0.5092377246
980	0.5091383402
981	0.5090685927
982	0.5090105899
983	0.5089560561
984	0.5089038878
985	0.5088210524
986	0.5087762332
987	0.5086951857
988	0.508629653
989	0.5085812826
990	0.5085171842
991	0.5084564219
992	0.5084008832
993	0.5083404954
994	0.5082633952
995	0.5082098786
996	0.5081542348
997	0.5080774828
998	0.5079883532
999	0.5079439658
