iter	Passed	Remaining
0	163	163703
1	192	95857
2	224	74716
3	256	63969
4	281	56102
5	309	51279
6	337	47885
7	362	44920
8	390	43005
9	417	41365
10	442	39818
11	469	38693
12	496	37672
13	525	37018
14	557	36632
15	587	36106
16	614	35523
17	641	35012
18	668	34507
19	696	34136
20	726	33860
21	753	33500
22	783	33287
23	813	33069
24	842	32848
25	870	32596
26	897	32347
27	925	32127
28	951	31847
29	979	31660
30	1007	31506
31	1037	31397
32	1067	31274
33	1094	31095
34	1121	30934
35	1149	30769
36	1175	30605
37	1203	30457
38	1227	30255
39	1255	30120
40	1281	29976
41	1308	29836
42	1333	29687
43	1359	29538
44	1387	29446
45	1412	29294
46	1437	29152
47	1465	29069
48	1488	28886
49	1516	28816
50	1543	28724
51	1571	28641
52	1598	28569
53	1624	28456
54	1652	28387
55	1677	28278
56	1703	28187
57	1730	28108
58	1756	28018
59	1785	27967
60	1811	27891
61	1838	27813
62	1863	27710
63	1890	27654
64	1935	27845
65	1975	27962
66	2007	27958
67	2032	27859
68	2060	27799
69	2084	27694
70	2114	27664
71	2137	27546
72	2165	27498
73	2193	27444
74	2232	27531
75	2260	27481
76	2286	27404
77	2312	27338
78	2339	27275
79	2366	27220
80	2395	27183
81	2422	27125
82	2448	27048
83	2473	26971
84	2498	26895
85	2526	26848
86	2555	26818
87	2581	26758
88	2610	26724
89	2637	26665
90	2662	26592
91	2686	26517
92	2712	26453
93	2739	26399
94	2764	26332
95	2790	26277
96	2816	26217
97	2843	26171
98	2868	26104
99	2892	26033
100	2923	26020
101	2948	25956
102	2975	25911
103	3007	25908
104	3031	25839
105	3058	25795
106	3082	25729
107	3109	25682
108	3138	25652
109	3164	25605
110	3191	25557
111	3216	25503
112	3244	25465
113	3271	25423
114	3305	25437
115	3337	25436
116	3362	25379
117	3388	25324
118	3413	25274
119	3439	25223
120	3464	25170
121	3492	25136
122	3516	25071
123	3540	25012
124	3570	24993
125	3595	24942
126	3621	24891
127	3654	24893
128	3677	24833
129	3704	24790
130	3728	24736
131	3756	24699
132	3784	24672
133	3818	24678
134	3843	24628
135	3869	24582
136	3894	24534
137	3921	24492
138	3948	24459
139	3975	24418
140	4002	24384
141	4028	24344
142	4055	24302
143	4079	24249
144	4106	24212
145	4130	24158
146	4156	24118
147	4183	24080
148	4219	24102
149	4244	24053
150	4270	24013
151	4294	23961
152	4321	23924
153	4348	23885
154	4379	23875
155	4404	23831
156	4429	23785
157	4456	23747
158	4481	23703
159	4507	23663
160	4533	23627
161	4564	23610
162	4589	23565
163	4615	23530
164	4641	23487
165	4669	23458
166	4693	23409
167	4719	23372
168	4747	23346
169	4773	23305
170	4800	23270
171	4832	23265
172	4856	23216
173	4883	23183
174	4907	23135
175	4933	23097
176	4957	23052
177	4982	23008
178	5017	23012
179	5049	23002
180	5075	22965
181	5099	22919
182	5123	22872
183	5148	22831
184	5181	22826
185	5211	22805
186	5250	22825
187	5279	22803
188	5307	22773
189	5333	22739
190	5362	22712
191	5393	22699
192	5418	22654
193	5444	22620
194	5469	22579
195	5495	22543
196	5530	22544
197	5561	22528
198	5587	22489
199	5613	22455
200	5648	22453
201	5679	22435
202	5704	22396
203	5730	22360
204	5754	22316
205	5795	22337
206	5820	22298
207	5861	22317
208	5886	22276
209	5925	22291
210	5950	22250
211	5975	22211
212	6008	22201
213	6035	22168
214	6061	22133
215	6087	22094
216	6128	22112
217	6153	22073
218	6193	22088
219	6226	22074
220	6258	22059
221	6294	22057
222	6328	22050
223	6356	22022
224	6383	21986
225	6409	21949
226	6435	21913
227	6461	21877
228	6487	21840
229	6511	21800
230	6541	21777
231	6567	21740
232	6594	21706
233	6626	21692
234	6650	21649
235	6674	21608
236	6699	21568
237	6726	21534
238	6750	21494
239	6777	21460
240	6810	21447
241	6833	21405
242	6860	21373
243	6888	21342
244	6915	21312
245	6941	21276
246	6965	21236
247	6992	21204
248	7017	21166
249	7059	21179
250	7087	21150
251	7122	21140
252	7155	21127
253	7189	21114
254	7228	21117
255	7255	21087
256	7280	21047
257	7305	21011
258	7333	20981
259	7360	20948
260	7390	20925
261	7419	20898
262	7446	20867
263	7475	20840
264	7502	20808
265	7527	20770
266	7553	20737
267	7578	20698
268	7605	20668
269	7637	20650
270	7663	20616
271	7705	20623
272	7742	20618
273	7770	20588
274	7796	20553
275	7822	20520
276	7848	20484
277	7872	20446
278	7901	20419
279	7927	20383
280	7954	20352
281	7979	20317
282	8016	20310
283	8053	20303
284	8085	20285
285	8110	20248
286	8138	20217
287	8162	20179
288	8202	20178
289	8227	20143
290	8253	20108
291	8279	20074
292	8305	20041
293	8331	20007
294	8356	19970
295	8381	19935
296	8415	19919
297	8438	19879
298	8465	19847
299	8489	19808
300	8516	19777
301	8550	19762
302	8583	19745
303	8607	19707
304	8633	19673
305	8665	19653
306	8700	19639
307	8730	19615
308	8757	19584
309	8784	19552
310	8811	19522
311	8836	19486
312	8863	19453
313	8900	19444
314	8927	19413
315	8952	19378
316	8980	19349
317	9004	19312
318	9030	19278
319	9054	19241
320	9081	19209
321	9105	19172
322	9133	19143
323	9160	19111
324	9185	19076
325	9213	19047
326	9236	19010
327	9262	18977
328	9300	18969
329	9326	18934
330	9350	18899
331	9379	18872
332	9413	18854
333	9446	18835
334	9478	18816
335	9510	18794
336	9536	18761
337	9564	18732
338	9592	18704
339	9619	18672
340	9645	18641
341	9678	18621
342	9714	18608
343	9744	18581
344	9778	18565
345	9805	18533
346	9831	18501
347	9862	18478
348	9891	18451
349	9919	18422
350	9946	18391
351	9974	18361
352	9999	18328
353	10027	18298
354	10061	18280
355	10083	18241
356	10111	18211
357	10137	18180
358	10162	18145
359	10190	18116
360	10215	18083
361	10242	18052
362	10278	18037
363	10305	18006
364	10330	17972
365	10361	17948
366	10386	17914
367	10414	17885
368	10442	17856
369	10472	17830
370	10496	17795
371	10523	17765
372	10550	17734
373	10591	17728
374	10617	17695
375	10642	17662
376	10668	17629
377	10693	17596
378	10719	17564
379	10747	17535
380	10774	17504
381	10797	17468
382	10839	17462
383	10864	17429
384	10890	17396
385	10915	17362
386	10940	17330
387	10968	17301
388	10994	17268
389	11021	17239
390	11046	17205
391	11086	17196
392	11111	17161
393	11137	17130
394	11161	17096
395	11190	17068
396	11215	17034
397	11240	17002
398	11267	16971
399	11294	16941
400	11320	16909
401	11353	16888
402	11378	16855
403	11406	16827
404	11431	16794
405	11472	16784
406	11503	16760
407	11536	16739
408	11562	16707
409	11587	16674
410	11614	16644
411	11642	16615
412	11671	16589
413	11699	16560
414	11727	16531
415	11756	16504
416	11785	16477
417	11815	16451
418	11851	16433
419	11875	16400
420	11902	16369
421	11927	16336
422	11952	16304
423	11979	16273
424	12017	16259
425	12052	16239
426	12077	16206
427	12116	16192
428	12141	16160
429	12168	16130
430	12194	16098
431	12220	16067
432	12246	16035
433	12270	16001
434	12295	15969
435	12320	15937
436	12348	15909
437	12373	15876
438	12399	15846
439	12431	15821
440	12467	15804
441	12492	15771
442	12516	15737
443	12542	15706
444	12567	15674
445	12600	15651
446	12624	15618
447	12650	15587
448	12676	15556
449	12702	15525
450	12731	15498
451	12757	15466
452	12782	15434
453	12814	15410
454	12838	15378
455	12866	15348
456	12895	15321
457	12919	15289
458	12948	15261
459	12979	15236
460	13004	15205
461	13030	15174
462	13055	15142
463	13083	15113
464	13110	15084
465	13146	15064
466	13170	15031
467	13197	15002
468	13225	14973
469	13250	14942
470	13277	14912
471	13301	14880
472	13328	14850
473	13354	14819
474	13390	14799
475	13416	14769
476	13442	14739
477	13477	14718
478	13509	14694
479	13545	14674
480	13571	14643
481	13597	14613
482	13622	14581
483	13648	14551
484	13675	14520
485	13699	14488
486	13728	14461
487	13759	14435
488	13788	14408
489	13819	14383
490	13846	14354
491	13874	14325
492	13901	14296
493	13927	14265
494	13953	14235
495	13990	14215
496	14026	14195
497	14052	14165
498	14076	14132
499	14103	14103
500	14131	14074
501	14159	14046
502	14187	14018
503	14213	13987
504	14243	13961
505	14271	13932
506	14297	13902
507	14323	13872
508	14357	13849
509	14382	13818
510	14421	13800
511	14454	13776
512	14479	13745
513	14507	13717
514	14535	13688
515	14562	13658
516	14588	13629
517	14621	13605
518	14653	13581
519	14676	13547
520	14702	13517
521	14736	13494
522	14761	13463
523	14788	13434
524	14813	13402
525	14838	13372
526	14865	13342
527	14890	13311
528	14916	13280
529	14948	13255
530	14973	13225
531	15005	13200
532	15029	13168
533	15056	13139
534	15082	13109
535	15121	13090
536	15147	13060
537	15172	13029
538	15199	13000
539	15236	12979
540	15261	12948
541	15287	12918
542	15319	12893
543	15344	12862
544	15370	12831
